TF	cluster
HNF4A	5
HNF4G	5
HOXA1	5
HOXA2	5
HOXA5	5
HOXA7	5
HOXB1	5
HOXB2	5
HOXB3	5
HOXB4	5
HOXB5	5
HOXC4	5
HOXC5	5
HOXD3	5
HOXD4	5
INSM1	5
ISX	5
JUN	5
JUNB	5
JUND	5
KLF17	5
LEF1	5
LHX4	5
LHX5	5
LHX6	5
LHX8	5
LYL1	5
MAZ	5
MEF2A	5
MEF2C	5
MEOX1	5
MEOX2	5
MYBL2	5
MYNN	5
MYT1L	5
NFYA	5
NFYB	5
NFYC	5
NKX11	5
NKX21	5
NKX23	5
NKX25	5
NKX26	5
NKX28	5
NKX31	5
NKX32	5
NOBOX	5
NR1D1	5
NR1D2	5
NR1H4	5
NR1I3	5
NR2C2	5
NR2E1	5
NR2E3	5
NR2F2	5
NR2F6	5
NR3C2	5
NR5A1	5
NR5A2	5
NR6A1	5
OTP	5
PAX3	5
PAX6	5
PAX7	5
PDX1	5
PHOX2A	5
POU6F1	5
PPARA	5
PPARD	5
PRDM4	5
RARB	5
RARG	5
RBAK	5
RBPJL	5
RHOXF2	5
RHOXF2B	5
RORA	5
RORB	5
RXRA	5
RXRB	5
RXRG	5
SIX4	5
ST18	5
STAT4	5
STAT6	5
TCF7	5
TCF7L2	5
TFAP2A	5
TFAP2B	5
TFAP2C	5
TFAP2D	5
TFAP2E	5
THAP11	5
THRB	5
TPRX1	5
VAX2	5
VDR	5
XPA	5
ZBTB3	5
ZIC2	5
ZNF143	5
ZNF154	5
ZNF18	5
ZNF180	5
ZNF181	5
ZNF184	5
ZNF189	5
ZNF19	5
ZNF211	5
ZNF212	5
ZNF224	5
ZNF254	5
ZNF266	5
ZNF267	5
ZNF30	5
ZNF304	5
ZNF343	5
ZNF350	5
ZNF383	5
ZNF394	5
ZNF398	5
ZNF41	5
ZNF415	5
ZNF423	5
ZNF443	5
ZNF444	5
ZNF468	5
ZNF483	5
ZNF486	5
ZNF490	5
ZNF496	5
ZNF502	5
ZNF519	5
ZNF530	5
ZNF534	5
ZNF543	5
ZNF566	5
ZNF567	5
ZNF620	5
ZNF626	5
ZNF627	5
ZNF681	5
ZNF692	5
ZNF75D	5
ZNF76	5
ZNF764	5
ZNF777	5
ZNF785	5
ZNF786	5
ZNF789	5
ZNF792	5
ZNF821	5
ZNF860	5
ZNF891	5
ZSCAN22	5
DMBX1	6
ESR1	6
GLI1	6
GLI3	6
HIC2	6
KLF8	6
MYPOP	6
NR2C1	6
PHF1	6
RORC	6
SKOR2	6
SMAD1	6
SMAD3	6
SMAD5	6
TET1	6
TP63	6
ZBED1	6
ZBTB33	6
ZBTB7A	6
ZBTB7B	6
ZBTB7C	6
ZIC1	6
ZIC3	6
ZIC4	6
ZIC5	6
ZKSCAN1	6
ZNF354C	6
ZNF385D	6
ZNF442	6
ZNF460	6
ZNF587	6
ZNF71	6
ZNF771	6
ZNF85	6
