groupID	cellType	UMAP1	UMAP2	Pseudotime	color	MyeloidProbs	ErythroidProbs	BLymphoidProbs	TLymphoidProbs
129	MEP	-3.68097058563118	-4.45782433272504	0.472735463729382	#EF3741	0	0.999999966864829	0	0
130	early-Ery	-7.34812847404365	-7.40254507781171	0.80284907278476	#CC1F39	0	0.99999999999969	0	0
131	DC	-2.87565032272224	1.08568419693804	0.0195576594787075	#D13C27	0.609117797260484	0.234966548749525	0.150456995460024	0
132	NaiveB	4.83315404625053	10.3423942494283	0.876620743550812	#A896C8	0	0	0.995083690737402	0
133	NaiveB	4.33473857612724	11.7163938450704	0.878888945207736	#A896C8	0	0	0.995685698258554	0
134	early-Ery	-7.57947222022896	-8.32334767104291	0.831972822485832	#CC1F39	0	0.999999999999691	0	0
135	pro/pre-B	-1.57392934589272	8.27880896805621	0.65372462216074	#A896C8	0	0	0.978699155015063	0.0212548030414927
136	plasmaB	3.82164033622856	5.70732630966998	0.600776160619171	#C757A1	0.0183453281403021	0	0.597189662966363	0.383515141623878
137	CD14mono	-10.0221692684162	1.03511072872973	0.38485924806928	#F28238	0.999799489955454	0	0	0
138	NK	3.62061485023613	-6.65398894072675	0.991016894278294	#492264	0	0	0	0.999166483980539
139	early-Ery	-7.15357509879951	-7.06841192961835	0.760598480804674	#CC1F39	0	0.999999999999686	0	0
140	CD8	2.50748380394096	-4.07402835608625	0.934087703661667	#1481C4	0	0	0.021916710501889	0.977620766070914
141	late-Ery	-8.00218788413887	-10.0111318659892	0.895574122795872	#901838	0	0.999999999999778	0	0
142	early-Ery	-4.74431625633125	-5.30999956847333	0.603488682052012	#CC1F39	0	0.999999999951688	0	0
143	late-Ery	-7.35755697517281	-10.6212650370707	0.89841146390372	#901838	0	0.999999999999704	0	0
144	LMPP	-2.40791837005501	2.48024048088885	0.00764065821625593	#00AF99	0.435446520832503	0.342537497191085	0.215334007198157	0
145	plasmaB	4.35097202034111	5.05971612213946	0.700226415630077	#C757A1	0	0	0.450940943587986	0.547873588779435
146	NaiveB	3.43364199371452	10.063039200295	0.875551469679794	#A896C8	0	0	0.995226601783943	0
147	NK	3.45370682449455	-6.00234328032636	0.988802213225704	#492264	0	0	0	0.999071225568188
148	CD14mono	-8.25320926933174	0.980403201569085	0.396722080118329	#F28238	0.999876278700789	0	0	0
149	CD8	5.5620921489727	-0.767566127788062	0.976316695771858	#1481C4	0	0	0	0.998432172970383
150	CD14mono	-9.64860931663399	-0.997162027369971	0.400862798865471	#F28238	0.999895679321774	0	0	0
151	CD14mono	-10.8084231975544	0.358793573368554	0.394848162177879	#F28238	0.99986980789938	0	0	0
152	NaiveB	4.63064798088188	11.2228635716329	0.871980758661489	#A896C8	0	0	0.984858561158251	0.0151087512757683
153	CD14mono	-10.0151530864704	-0.308198823679025	0.397285111229424	#F28238	0.999882281575533	0	0	0
154	CD8	4.01805146904106	-5.38348589659833	0.992601347127016	#1481C4	0	0	0	0.999198592862839
155	DC	-2.60421291618233	2.16949857949114	0.026678812752987	#D13C27	0.631792972232679	0.217326403928767	0.145491289904214	0
156	early-Ery	-7.93014732627754	-8.56625233412885	0.852343731476639	#CC1F39	0	0.999999999999698	0	0
157	NaiveB	4.85147460670586	10.8560298848043	0.87815163678654	#A896C8	0	0	0.995545488713761	0
158	CD14mono	-11.8525258663166	0.0588264632115411	0.391443832480059	#F28238	0.99985113981347	0	0	0
159	pDC	-2.71610657005196	5.73306597946978	0.194407699354702	#854199	0.975713193902977	0.0113970138868899	0.0101013172283949	0
160	CD14mono	-9.38233867912178	0.643641369331841	0.39786444130053	#F28238	0.999883557421268	0	0	0
161	CD16mono	-8.20656601219063	3.53950895546771	0.364616865982771	#F26625	0.920260114042971	0	0.0371769681021405	0.0381891345032648
162	HSC/MPP	-1.87608841686134	1.25159146069384	0.00176996411071675	#0E4421	0.436111027391661	0.343376497114273	0.213866625065683	0
163	NaiveB	2.87983425827141	10.7925476002584	0.87517213676151	#A896C8	0	0	0.995288376372875	0
164	NaiveB	3.42277702064629	9.78392447708941	0.861363776800239	#A896C8	0	0	0.98799824957422	0.0119758408661033
